"DIM2","Abielu kestus","TIME","Vaatlusperiood","Value","Flag Codes","Flags"
"1","Kokku","1991","1991",5738,,
"1","Kokku","1992","1992",6651,,
"1","Kokku","1993","1993",5757,,
"1","Kokku","1994","1994",5606,,
"1","Kokku","1995","1995",7456,,
"1","Kokku","1996","1996",5657,,
"1","Kokku","1997","1997",5281,,
"1","Kokku","1998","1998",4491,,
"1","Kokku","1999","1999",4561,,
"1","Kokku","2000","2000",4230,,
"1","Kokku","2001","2001",4312,,
"1","Kokku","2002","2002",4074,,
"1","Kokku","2003","2003",3973,,
"1","Kokku","2004","2004",4158,,
"1","Kokku","2005","2005",4054,,
"1","Kokku","2006","2006",3811,,
"1","Kokku","2007","2007",3809,,
"1","Kokku","2008","2008",3501,,
"1","Kokku","2009","2009",3189,,
"1","Kokku","2010","2010",2989,,
"1","Kokku","2011","2011",3099,,
"1","Kokku","2012","2012",3142,,
"1","Kokku","2013","2013",3343,,
"1","Kokku","2014","2014",3218,,
"1","Kokku","2015","2015",3382,,
"1","Kokku","2016","2016",3262,,
"1","Kokku","2017","2017",3323,,
"1","Kokku","2018","2018",3199,,
"1","Kokku","2019","2019",2790,,
"2","Alla 1 aasta","1991","1991",185,,
"2","Alla 1 aasta","1992","1992",233,,
"2","Alla 1 aasta","1993","1993",139,,
"2","Alla 1 aasta","1994","1994",98,,
"2","Alla 1 aasta","1995","1995",135,,
"2","Alla 1 aasta","1996","1996",118,,
"2","Alla 1 aasta","1997","1997",80,,
"2","Alla 1 aasta","1998","1998",83,,
"2","Alla 1 aasta","1999","1999",87,,
"2","Alla 1 aasta","2000","2000",117,,
"2","Alla 1 aasta","2001","2001",93,,
"2","Alla 1 aasta","2002","2002",95,,
"2","Alla 1 aasta","2003","2003",67,,
"2","Alla 1 aasta","2004","2004",91,,
"2","Alla 1 aasta","2005","2005",87,,
"2","Alla 1 aasta","2006","2006",92,,
"2","Alla 1 aasta","2007","2007",96,,
"2","Alla 1 aasta","2008","2008",90,,
"2","Alla 1 aasta","2009","2009",83,,
"2","Alla 1 aasta","2010","2010",66,,
"2","Alla 1 aasta","2011","2011",71,,
