"DIM2","Type of service","DIM3","Quarter","TIME","Reference period","Value","Flag Codes","Flags"
"55","Accommodation services","I","1st quarter","2002","2002",101,,
"55","Accommodation services","I","1st quarter","2003","2003",87,,
"55","Accommodation services","I","1st quarter","2004","2004",153,,
"55","Accommodation services","I","1st quarter","2005","2005",123,,
"55","Accommodation services","I","1st quarter","2006","2006",112,,
"55","Accommodation services","I","1st quarter","2007","2007",130,,
"55","Accommodation services","I","1st quarter","2008","2008",112,,
"55","Accommodation services","I","1st quarter","2009","2009",84,,
"55","Accommodation services","I","1st quarter","2010","2010",121,,
"55","Accommodation services","I","1st quarter","2011","2011",125,,
"55","Accommodation services","I","1st quarter","2012","2012",121,,
"55","Accommodation services","I","1st quarter","2013","2013",86,,
"55","Accommodation services","I","1st quarter","2014","2014",100,,
"55","Accommodation services","I","1st quarter","2015","2015",115,,
"55","Accommodation services","I","1st quarter","2016","2016",102,,
"55","Accommodation services","I","1st quarter","2017","2017",113,,
"55","Accommodation services","I","1st quarter","2018","2018",108,,
"55","Accommodation services","I","1st quarter","2019","2019",101,,
"55","Accommodation services","I","1st quarter","2020","2020",84,,
"55","Accommodation services","II","2nd quarter","2002","2002",108,,
"55","Accommodation services","II","2nd quarter","2003","2003",90,,
"55","Accommodation services","II","2nd quarter","2004","2004",137,,
"55","Accommodation services","II","2nd quarter","2005","2005",134,,
"55","Accommodation services","II","2nd quarter","2006","2006",106,,
"55","Accommodation services","II","2nd quarter","2007","2007",104,,
"55","Accommodation services","II","2nd quarter","2008","2008",107,,
"55","Accommodation services","II","2nd quarter","2009","2009",86,,
"55","Accommodation services","II","2nd quarter","2010","2010",117,,
"55","Accommodation services","II","2nd quarter","2011","2011",120,,
"55","Accommodation services","II","2nd quarter","2012","2012",113,,
"55","Accommodation services","II","2nd quarter","2013","2013",86,,
"55","Accommodation services","II","2nd quarter","2014","2014",103,,
"55","Accommodation services","II","2nd quarter","2015","2015",115,,
"55","Accommodation services","II","2nd quarter","2016","2016",111,,
"55","Accommodation services","II","2nd quarter","2017","2017",98,,
"55","Accommodation services","II","2nd quarter","2018","2018",107,,
"55","Accommodation services","II","2nd quarter","2019","2019",108,,
"55","Accommodation services","III","3rd quarter","2002","2002",114,,
"55","Accommodation services","III","3rd quarter","2003","2003",86,,
"55","Accommodation services","III","3rd quarter","2004","2004",150,,
"55","Accommodation services","III","3rd quarter","2005","2005",127,,
"55","Accommodation services","III","3rd quarter","2006","2006",110,,
"55","Accommodation services","III","3rd quarter","2007","2007",98,,
"55","Accommodation services","III","3rd quarter","2008","2008",104,,
"55","Accommodation services","III","3rd quarter","2009","2009",97,,
"55","Accommodation services","III","3rd quarter","2010","2010",117,,
"55","Accommodation services","III","3rd quarter","2011","2011",118,,
"55","Accommodation services","III","3rd quarter","2012","2012",99,,
"55","Accommodation services","III","3rd quarter","2013","2013",93,,
"55","Accommodation services","III","3rd quarter","2014","2014",105,,
"55","Accommodation services","III","3rd quarter","2015","2015",113,,
"55","Accommodation services","III","3rd quarter","2016","2016",113,,
"55","Accommodation services","III","3rd quarter","2017","2017",100,,
"55","Accommodation services","III","3rd quarter","2018","2018",104,,
"55","Accommodation services","III","3rd quarter","2019","2019",105,,
"55","Accommodation services","IV","4th quarter","2002","2002",98,,
"55","Accommodation services","IV","4th quarter","2003","2003",116,,
"55","Accommodation services","IV","4th quarter","2004","2004",120,,
"55","Accommodation services","IV","4th quarter","2005","2005",123,,
"55","Accommodation services","IV","4th quarter","2006","2006",116,,
"55","Accommodation services","IV","4th quarter","2007","2007",109,,
"55","Accommodation services","IV","4th quarter","2008","2008",103,,
"55","Accommodation services","IV","4th quarter","2009","2009",96,,
"55","Accommodation services","IV","4th quarter","2010","2010",133,,
"55","Accommodation services","IV","4th quarter","2011","2011",113,,
"55","Accommodation services","IV","4th quarter","2012","2012",122,,
"55","Accommodation services","IV","4th quarter","2013","2013",83,,
